age,gender,field,lfs,contract,js,educ,peduc,wage,hours,empstat_edt,couple,child,lit,num,ps
20,Female,General programmes,Employed,An indefinite contract,Satisfied,12,"At least one parent has attained secondary and post-secondary, non-tertiary",1200,6,3,0,NA,0.888001025,0.654771447,1.132556677
65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,Female,NA,Out of the labour force,NA,NA,9,NA,NA,0,3,0,2,-2.252797842,-2.365780115,NA
41,Male,"Engineering, manufacturing and construction",Employed,A fixed term contract,Neither satisfied nor dissatisfied,12,NA,820,9,2,NA,NA,0.683107138,0.405670732,NA
24,Female,Teacher training and education science,Employed,An indefinite contract,Neither satisfied nor dissatisfied,16,"At least one parent has attained secondary and post-secondary, non-tertiary",782.5700311,65,1,0,NA,1.564308405,1.405331612,0.241893679
55,Male,"Engineering, manufacturing and construction",Employed,An indefinite contract,Neither satisfied nor dissatisfied,16,Neither parent has attained upper secondary,3297.87234,47,1,1,1,1.5979985,1.664010644,0.387275398
24,Female,"Science, mathematics and computing",Employed,An indefinite contract,Extremely satisfied,16,At least one parent has attained tertiary,1541.240551,40,1,1,NA,1.501963139,1.708979726,NA
35,Female,General programmes,Out of the labour force,NA,NA,14,"At least one parent has attained secondary and post-secondary, non-tertiary",NA,0,3,1,NA,1.104543447,0.809973896,NA
44,Female,"Social sciences, business and law",Employed,An indefinite contract,Neither satisfied nor dissatisfied,12,At least one parent has attained tertiary,836,33,2,1,2,0.763586998,0.431271166,0.170081094
23,Female,General programmes,Out of the labour force,NA,NA,12,At least one parent has attained tertiary,NA,0,3,0,NA,1.212728262,0.732334018,0.880092621
33,Female,General programmes,Employed,An indefinite contract,Neither satisfied nor dissatisfied,12,"At least one parent has attained secondary and post-secondary, non-tertiary",800,40,1,1,3,-0.006143179,-0.177955166,NA
57,Male,"Social sciences, business and law",Out of the labour force,NA,NA,16,"At least one parent has attained secondary and post-secondary, non-tertiary",NA,0,3,NA,2,0.048475038,-1.124081373,NA
23,Male,"Engineering, manufacturing and construction",Employed,An indefinite contract,Neither satisfied nor dissatisfied,10,At least one parent has attained tertiary,1040.462428,40,1,0,NA,0.281192124,0.043219674,0.360509753
61,Male,General programmes,Out of the labour force,NA,NA,12,Neither parent has attained upper secondary,NA,0,3,1,2,0.477077007,1.378234386,0.056816962
62,Male,General programmes,Out of the labour force,NA,NA,12,Neither parent has attained upper secondary,NA,0,1,1,3,0.815344632,1.427945256,NA
34,Male,"Engineering, manufacturing and construction",Employed,An indefinite contract,Extremely satisfied,10,Neither parent has attained upper secondary,2115.384615,50,1,0,1,0.696602285,0.122245699,0.749826491
64,Female,Services,Out of the labour force,NA,NA,13,Neither parent has attained upper secondary,NA,0,3,0,NA,-1.600098968,-1.020322919,-1.317159653
55,Male,"Science, mathematics and computing",Employed,An indefinite contract,Satisfied,12,At least one parent has attained tertiary,4560.43956,35,1,1,1,-0.866391182,0.139243469,-1.023489237
45,Female,"Social sciences, business and law",Employed,An indefinite contract,Satisfied,16,"At least one parent has attained secondary and post-secondary, non-tertiary",3000,3,2,1,1,0.720181465,0.567632079,-0.071340725
35,Male,"Engineering, manufacturing and construction",Employed,An indefinite contract,Satisfied,16,At least one parent has attained tertiary,2243.589744,60,1,1,2,1.194468856,1.451471686,2.018399954
19,Male,General programmes,Employed,An indefinite contract,Neither satisfied nor dissatisfied,12,"At least one parent has attained secondary and post-secondary, non-tertiary",800,7,3,0,NA,-0.563744187,-1.171174407,-0.724661291
52,Female,"Humanities, languages and arts",Out of the labour force,NA,NA,16,"At least one parent has attained secondary and post-secondary, non-tertiary",NA,0,3,0,NA,0.622646272,0.295213968,NA
51,Male,NA,Out of the labour force,NA,NA,9,NA,NA,0,3,NA,2,-1.960505009,-2.131358624,NA
62,Male,General programmes,Employed,NA,Satisfied,12,NA,NA,50,1,1,2,-0.370213777,0.65718627,NA
32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,Male,"Engineering, manufacturing and construction",Employed,An indefinite contract,Neither satisfied nor dissatisfied,18,NA,2824.465194,45,1,1,2,0.506099999,1.015884042,1.051484108
33,Female,NA,Employed,An indefinite contract,Satisfied,9,Neither parent has attained upper secondary,1102.308628,38,2,0,1,0.343145281,-0.106022917,NA
35,Female,General programmes,Out of the labour force,NA,NA,12,"At least one parent has attained secondary and post-secondary, non-tertiary",NA,0,3,1,1,0.283487111,-0.079169609,0.824901462
61,Female,General programmes,Out of the labour force,NA,NA,12,At least one parent has attained tertiary,NA,0,3,1,3,0.048108876,0.263052285,NA
44,Male,"Social sciences, business and law",Employed,An indefinite contract,Extremely satisfied,16,"At least one parent has attained secondary and post-secondary, non-tertiary",13191.32948,8,1,1,2,0.83447963,0.531707287,0.781382978
59,Female,Health and welfare,Employed,An indefinite contract,Satisfied,14,"At least one parent has attained secondary and post-secondary, non-tertiary",1055.384615,25,2,1,1,0.193173721,-0.605405271,-0.528555989
39,Female,General programmes,Out of the labour force,NA,NA,12,"At least one parent has attained secondary and post-secondary, non-tertiary",NA,0,3,1,2,0.218237683,0.044815678,NA
25,Female,Agriculture and veterinary,Employed,An indefinite contract,Extremely satisfied,14,At least one parent has attained tertiary,897.4948462,44,1,0,NA,-0.687003613,-0.80609417,-1.024214149
64,Male,"Social sciences, business and law",Out of the labour force,NA,NA,16,Neither parent has attained upper secondary,NA,0,3,1,NA,-0.382365793,-0.074983038,NA
30,Male,Services,Employed,An indefinite contract,Neither satisfied nor dissatisfied,12,At least one parent has attained tertiary,1538.461538,60,1,0,NA,0.847879291,0.605836928,NA
63,Female,"Humanities, languages and arts",Employed,An indefinite contract,Satisfied,12,Neither parent has attained upper secondary,1886.263736,35,2,1,2,-0.923220634,-0.559057593,NA
53,Female,"Humanities, languages and arts",Out of the labour force,NA,NA,14,Neither parent has attained upper secondary,NA,0,3,1,NA,0.51636678,0.553632438,0.173028544
22,Female,"Humanities, languages and arts",Employed,An indefinite contract,Satisfied,16,At least one parent has attained tertiary,1500,40,1,0,NA,1.723875523,1.166422725,1.240575314
54,Female,Health and welfare,Out of the labour force,NA,NA,14,Neither parent has attained upper secondary,NA,0,3,1,2,0.165985689,0.13810423,NA
36,Female,Health and welfare,Out of the labour force,NA,NA,16,"At least one parent has attained secondary and post-secondary, non-tertiary",NA,0,3,1,1,1.741366625,1.442643404,0.914144993
52,Male,General programmes,Employed,An indefinite contract,Dissatisfied,12,"At least one parent has attained secondary and post-secondary, non-tertiary",1653.512672,48,1,1,2,-0.692817807,-0.39309898,0.211667821
16,Male,NA,Out of the labour force,NA,NA,9,"At least one parent has attained secondary and post-secondary, non-tertiary",NA,0,3,0,NA,0.592141867,0.241767928,-0.239130735
54,Female,Teacher training and education science,Employed,NA,Satisfied,14,"At least one parent has attained secondary and post-secondary, non-tertiary",NA,18,1,1,NA,-0.233610854,-0.378442556,-1.686567426
53,Male,"Engineering, manufacturing and construction",Employed,An indefinite contract,Neither satisfied nor dissatisfied,12,At least one parent has attained tertiary,1000,42,2,1,3,-0.193535984,-0.535924256,NA
54,Female,Teacher training and education science,Employed,An indefinite contract,Satisfied,16,Neither parent has attained upper secondary,16346.15385,10,1,1,2,-0.191387624,-0.565526426,-0.525085211
46,Female,General programmes,Employed,An indefinite contract,Extremely satisfied,12,Neither parent has attained upper secondary,850,24,2,1,3,1.031265259,0.62913239,NA
46,Female,Health and welfare,Employed,An indefinite contract,Satisfied,14,At least one parent has attained tertiary,886.2827924,40,1,0,1,-0.449256659,-0.278385967,NA
26,Female,"Social sciences, business and law",Employed,An indefinite contract,Extremely satisfied,14,At least one parent has attained tertiary,1166.666667,15,2,1,2,-1.301117778,-1.225560904,-2.462883234
32,Male,"Social sciences, business and law",Employed,An indefinite contract,Satisfied,16,At least one parent has attained tertiary,NA,70,1,1,1,-1.210771203,-0.859652698,-0.046891943
20,Female,NA,Employed,A fixed term contract,Dissatisfied,12,At least one parent has attained tertiary,642.2113532,30,2,0,NA,-0.426412284,-0.183399156,0.047187731
62,Female,General programmes,Out of the labour force,NA,NA,12,Neither parent has attained upper secondary,NA,0,3,1,2,-1.04899621,-0.148802921,-1.74551332
21,Female,"Engineering, manufacturing and construction",Employed,NA,Satisfied,12,"At least one parent has attained secondary and post-secondary, non-tertiary",NA,40,1,0,NA,0.370687753,0.228187129,NA
50,Male,Agriculture and veterinary,Employed,A fixed term contract,Satisfied,12,"At least one parent has attained secondary and post-secondary, non-tertiary",959.5375723,40,1,1,4,0.274139553,0.248305708,-0.320796102
35,Female,"Social sciences, business and law",Employed,An indefinite contract,Satisfied,12,"At least one parent has attained secondary and post-secondary, non-tertiary",1032.051282,30,2,1,3,0.297187537,0.12399698,0.759235203
44,Female,General programmes,Employed,An indefinite contract,Satisfied,12,Neither parent has attained upper secondary,1013.228101,50,1,1,3,-0.209649548,0.111712225,-0.011441018
65,Male,"Social sciences, business and law",Out of the labour force,NA,NA,16,Neither parent has attained upper secondary,NA,0,3,1,2,-1.995156646,-1.278951287,-1.722176552
29,Male,"Science, mathematics and computing",Employed,An indefinite contract,Satisfied,16,At least one parent has attained tertiary,1194.530903,50,1,0,NA,0.977195859,1.391509175,NA
53,Male,"Social sciences, business and law",Employed,An indefinite contract,Neither satisfied nor dissatisfied,16,"At least one parent has attained secondary and post-secondary, non-tertiary",2884.615385,40,1,1,3,1.136814952,1.594869614,0.334495485
63,Female,General programmes,Employed,NA,Neither satisfied nor dissatisfied,12,Neither parent has attained upper secondary,NA,35,1,1,2,-0.721617103,-0.015604444,NA
26,Female,General programmes,Out of the labour force,NA,NA,12,At least one parent has attained tertiary,NA,0,3,1,NA,-2.314451456,-2.59729147,NA
43,Male,"Social sciences, business and law",Employed,An indefinite contract,Satisfied,16,At least one parent has attained tertiary,8407.777194,11,1,NA,NA,1.213153124,0.765374422,NA
65,Female,"Social sciences, business and law",Out of the labour force,NA,NA,12,"At least one parent has attained secondary and post-secondary, non-tertiary",NA,0,3,1,2,-0.805069804,-0.75858146,NA
20,Male,General programmes,Employed,An indefinite contract,Extremely satisfied,10,"At least one parent has attained secondary and post-secondary, non-tertiary",1408.0332,39,1,0,NA,-0.608087301,-1.304160476,NA
55,Male,General programmes,Employed,An indefinite contract,Satisfied,12,Neither parent has attained upper secondary,1849.710983,50,1,1,1,0.201995924,0.904145658,0.517590642
16,Female,NA,Out of the labour force,NA,NA,9,"At least one parent has attained secondary and post-secondary, non-tertiary",NA,0,3,0,NA,-0.646058202,-0.353756398,-0.576918125
35,Female,Health and welfare,Employed,NA,Satisfied,14,At least one parent has attained tertiary,NA,48,1,1,2,-0.855848789,-0.270216584,NA
39,Male,"Engineering, manufacturing and construction",Employed,An indefinite contract,Satisfied,16,"At least one parent has attained secondary and post-secondary, non-tertiary",1802.884615,48,1,0,NA,0.719227135,0.480907857,0.293222159
61,Male,"Engineering, manufacturing and construction",Employed,NA,Dissatisfied,16,At least one parent has attained tertiary,NA,50,1,1,3,1.522448778,1.876122236,-0.147200301
40,Female,Teacher training and education science,Employed,An indefinite contract,Neither satisfied nor dissatisfied,12,"At least one parent has attained secondary and post-secondary, non-tertiary",814.3518331,22,2,0,NA,-1.016067863,-1.760677576,-1.061977506
34,Female,Teacher training and education science,Employed,A fixed term contract,Neither satisfied nor dissatisfied,14,Neither parent has attained upper secondary,1260.683761,45,1,0,NA,0.423510343,0.489721835,0.702659011
35,Male,General programmes,Employed,An indefinite contract,Neither satisfied nor dissatisfied,12,"At least one parent has attained secondary and post-secondary, non-tertiary",1573.426573,55,1,0,NA,-0.99021703,-0.817854762,NA
34,Male,"Social sciences, business and law",Employed,An indefinite contract,Satisfied,16,At least one parent has attained tertiary,2294.353046,45,1,1,2,0.569232106,0.867067933,0.143523112
37,Male,General programmes,Employed,An indefinite contract,Satisfied,12,Neither parent has attained upper secondary,1471.361009,55,1,0,NA,-0.144654006,-0.543072522,-0.2884157
16,Male,NA,Out of the labour force,NA,NA,9,At least one parent has attained tertiary,NA,0,3,0,NA,-0.209714904,-0.496049136,-0.288843155
41,Male,"Social sciences, business and law",Employed,An indefinite contract,Satisfied,16,"At least one parent has attained secondary and post-secondary, non-tertiary",2500,50,1,1,1,1.470963478,1.114546895,NA
35,Female,Health and welfare,Employed,An indefinite contract,Satisfied,14,Neither parent has attained upper secondary,1541.425819,45,1,NA,NA,0.5408023,0.120308831,0.744534254
45,Male,"Engineering, manufacturing and construction",Employed,An indefinite contract,Neither satisfied nor dissatisfied,12,Neither parent has attained upper secondary,740.0641026,48,1,1,1,-0.492135972,0.114923932,-0.650438964
64,Female,General programmes,Out of the labour force,NA,NA,12,Neither parent has attained upper secondary,NA,0,3,1,2,-0.100507803,0.356895298,NA
25,Male,General programmes,Employed,A fixed term contract,Satisfied,12,"At least one parent has attained secondary and post-secondary, non-tertiary",2187.5,16,3,0,NA,1.698610425,0.889492989,0.630733192
57,Male,"Engineering, manufacturing and construction",Employed,An indefinite contract,Satisfied,12,At least one parent has attained tertiary,2311.644682,45,1,1,2,0.569227934,0.772500753,NA
52,Female,General programmes,Employed,An indefinite contract,Neither satisfied nor dissatisfied,12,At least one parent has attained tertiary,2622.377622,44,1,0,NA,1.161222816,1.035297394,NA
61,Male,Teacher training and education science,Employed,An indefinite contract,Neither satisfied nor dissatisfied,16,"At least one parent has attained secondary and post-secondary, non-tertiary",1269.230769,40,1,1,2,0.490498424,0.699823916,-0.602569163
36,Male,"Engineering, manufacturing and construction",Employed,An indefinite contract,Satisfied,16,At least one parent has attained tertiary,2097.902098,55,1,1,1,1.194638133,1.336957216,0.670820117
30,Female,Health and welfare,Employed,A fixed term contract,Dissatisfied,16,At least one parent has attained tertiary,1492.307692,50,1,0,NA,0.306990087,1.18791759,-0.293487459
33,Female,Health and welfare,Employed,An indefinite contract,Neither satisfied nor dissatisfied,14,"At least one parent has attained secondary and post-secondary, non-tertiary",1685.934489,48,1,1,2,0.984130263,0.656765878,NA
57,Female,"Social sciences, business and law",Out of the labour force,NA,NA,12,At least one parent has attained tertiary,NA,0,3,1,2,-0.054766253,-0.139912412,NA
52,Female,General programmes,Employed,An indefinite contract,Neither satisfied nor dissatisfied,10,Neither parent has attained upper secondary,738.5226767,48,1,1,3,0.192306504,0.1159238,NA
23,Female,"Engineering, manufacturing and construction",Out of the labour force,NA,NA,12,At least one parent has attained tertiary,NA,0,3,1,3,-0.053246312,-0.124742433,-0.715055466
53,Male,Teacher training and education science,Employed,An indefinite contract,Extremely dissatisfied,16,"At least one parent has attained secondary and post-secondary, non-tertiary",2503.890618,40,1,1,2,0.995079875,1.571555257,0.182721972
63,Female,NA,Employed,An indefinite contract,Extremely satisfied,9,Neither parent has attained upper secondary,750,35,2,1,2,0.005285715,-0.539938867,NA
45,Female,"Social sciences, business and law",Employed,A temporary employment agency contract,Satisfied,16,At least one parent has attained tertiary,2101.944298,10,2,1,2,0.247702286,0.410304219,0.272355169
57,Male,"Social sciences, business and law",Employed,An indefinite contract,Neither satisfied nor dissatisfied,16,Neither parent has attained upper secondary,990.9165979,21,2,0,NA,-1.504785061,-0.775660276,-1.149954557
62,Female,NA,Out of the labour force,NA,NA,9,Neither parent has attained upper secondary,NA,0,3,1,5,-0.914104283,-0.496062011,NA
